entity_id,entity_name,aliases,canonical_code,subgroup_name,confidence,rationale,source_urls,source_titles,publication_dates,source_types,evidence_texts,suspected_functions,related_case_ids,review_status,merge_confidence,seed_overlap
a6e0389350aec46c,About SiliconANGLE Media SiliconANGLE Media,About SiliconANGLE Media SiliconANGLE Media,Not included,Not included,0.35694271232960256,Evidence was too weak or ambiguous to assign a taxonomy code confidently.,https://siliconangle.com/2025/03/25/malicious-ai-tool-mentions-surge-200-across-dark-web-channels-2024/,Malicious AI tool mentions surge 200% across dark web channels in 2024 - SiliconANGLE,"Tue, 25 Mar 2025 05:00:00 GMT",news,"About SiliconANGLE Media SiliconANGLE Media is a recognized leader in digital media innovation, uniting breakthrough technology, strategic insights and real-time audience engagement. As the parent company of and theCUBE SuperStudios — with flagship locations in Silicon Valley and the New York Stock Exchange — SiliconANGLE Media operates at the intersection of media, technology and AI. Founded by tech visionaries John Furrier and Dave Vellante, SiliconANGLE Me",uncertain,add8c5e225139514,low_confidence,1.0,False
bcb70436990787b0,Aeryon Labs,Aeryon Labs,3A,Mass Surveillance Systems,0.5168952905330431,"Top code 3A from combined rule, prototype, and optional model signals.",https://misp-galaxy.org/surveillance-vendor/,Surveillance Vendor - MISP galaxy,,research_database,"Aeryon Labs. Aeryon Labs, now part of FLIR Systems, is a provider of high-performance surveillance drones and related software. Its SkyRanger drone is designed for real-time aerial surveillance and has been integrated into policing platforms like the Microsoft Advanced Patrol Platform (MAPP). The SkyRanger provides law enforcement agencies with live video feeds during patrols and operations. The drone's features include high-re",Mass Surveillance Systems,90245fa720ba01f2,low_confidence,1.0,False
dd7b708734a19c13,Aglaya,Aglaya,3A,Mass Surveillance Systems,0.4980857398388292,"Top code 3A from combined rule, prototype, and optional model signals.",https://misp-galaxy.org/surveillance-vendor/,Surveillance Vendor - MISP galaxy,,research_database,"Aglaya. Aglaya, a contractor based in Delhi, India, emerged into the public eye in 2014 following its attempt to secure a substantial annual contract worth $5 billion. This surge in prominence was largely driven by the actions of Ankur Srivastava, Aglaya's CEO and founder, who purportedly proposed the outsourcing of surveillance and hacking services to various governments.

Interionet. Interionet Systems Ltd., headquartere",Mass Surveillance Systems,f40eeb8eec50b095,low_confidence,1.0,False
bdd3d6379926dc52,Agnitio,Agnitio,3A,Mass Surveillance Systems,0.9629371790408713,"Top code 3A from combined rule, prototype, and optional model signals.",https://misp-galaxy.org/surveillance-vendor/,Surveillance Vendor - MISP galaxy,,research_database,"Agnitio. Agnitio, a company specializing in biometric identification and surveillance technologies, developed several advanced tools for security and surveillance applications. Through its flagship product, BATVOX, Agnitio’s technology can analyze and verify a person's identity based on their voice. It also provides facial recognition systems that can identify or verify individuals by analyzing facial features. Its primary",Mass Surveillance Systems,154dd8d548f63004,ready_for_review,1.0,False
bac80f8953f2e898,AI is bringing enormous benefits...to criminals,AI is bringing enormous benefits...to criminals,Not included,Not included,0.5042667187734419,Evidence was too weak or ambiguous to assign a taxonomy code confidently.,https://www.computing.co.uk/news/2026/ai/ai-bringing-benefits-to-criminals,AI is bringing enormous benefits...to criminals,"Wed, 18 Mar 2026 02:43:00 GMT",news,"AI is bringing enormous benefits...to criminals Artificial intelligence is accelerating financial fraud’s scale and profitability, with schemes using the technology now generating more than four times the returns of traditional scams. Reported by Autonomous Discovery - Bing News",uncertain,6970e171883ea740,low_confidence,1.0,False
2481fba1d14e0c61,AI Is Making Financial Fraud,AI Is Making Financial Fraud,1B,Synthetic Media Deception,0.7009220875164732,"Top code 1B from combined rule, prototype, and optional model signals.",https://www.finextra.com/blogposting/31233/ai-is-making-financial-fraud-faster-heres-what-needs-to-catch-up,AI Is Making Financial Fraud Faster. Here's What Needs to Catch Up,"Tue, 24 Mar 2026 12:29:00 GMT",news,"AI Is Making Financial Fraud Faster. Here's What Needs to Catch Up In the first nine months of 2025, AI-driven deepfake fraud caused over $3 billion in losses in the United States alone. Synthetic identity fraud - where real and fabricated data are blended to create ... Reported by Autonomous Discovery - Bing News",Synthetic Media Deception,ad7c5c3b0029bc37,ready_for_review,1.0,False
eab9b7a187cd3aa1,Ai Nudes,Ai Nudes,1B,Synthetic Media Deception,0.8424658270918242,"Top code 1B from combined rule, prototype, and optional model signals.",https://www.xbiz.com/news/283348/san-francisco-city-attorney-sues-nonconsensual-deepfake-porn-sites,San Francisco City Attorney Sues &#39;Nonconsensual&#39; Deepfake Porn Sites - XBIZ.com,,news,"A Tangled Web of Obscure Sites and Companies Chiu’s office attached the — filed at San Francisco Superior Court as “People of the State of California v. Sol Ecom, Inc, et al.” — but redacted the names of the websites. However, the unredacted version of the complaint names the targeted websites as: Drawnudes.io (operated by Sol Ecom); Porngen.art and Undresser.ai (operated by Briver); Undress.app, Undress.love, Undress.cc, and Ai-nudes.app (operated by Itai Tech); Nudify.online (operated by Defir",Synthetic Media Deception,632ffcdb1b7c3653,ready_for_review,1.0,False
6ed367ffcfea2ce5,AI Voice Clones Let Scammers,AI Voice Clones Let Scammers,Not included,Not included,0.4285129214163311,Evidence was too weak or ambiguous to assign a taxonomy code confidently.,https://www.yahoo.com/news/scammers-using-voice-clips-create-220000059.html,AI Voice Clones Let Scammers Spoof Your Loved Ones and Take Your Money,"Sat, 26 Apr 2025 06:00:00 GMT",news,AI Voice Clones Let Scammers Spoof Your Loved Ones and Take Your Money Artificial intelligence has armed scammers with a new tool that was previously possible only in science fiction movies -- the ability to create voice clones. Fraudsters are using mimics of your family ... Reported by Autonomous Discovery - Cybercrime And Abuse AI,uncertain,f8637a29ae367f3b,low_confidence,1.0,False
19cc800c81c185d6,Ainude,Ainude,1B,Synthetic Media Deception,0.8424658270918242,"Top code 1B from combined rule, prototype, and optional model signals.",https://www.xbiz.com/news/283348/san-francisco-city-attorney-sues-nonconsensual-deepfake-porn-sites,San Francisco City Attorney Sues &#39;Nonconsensual&#39; Deepfake Porn Sites - XBIZ.com,,news,"Pornx.ai (operated by someone only identified as Doe #2); Deepnude.cc (operated by someone only identified as Doe #3); Ainude.ai (operated by someone only identified as Doe #4); and Clothoff.io (operated by someone only identified as Doe #5). According to the lawsuit, several of these sites openly promote the nonconsensual nature of their deepfakes. Drawnudes.io, for example, allegedly enables users to “deepnude girls for free” by using the website’s AI technology to ‘undress’ uploaded images.",Synthetic Media Deception,2bbfa2edd9ee913e,ready_for_review,1.0,False
7f541baee8c46034,Almenta,Almenta,4A,Automated Cyberattack Tools,0.9764811024665858,"Top code 4A from combined rule, prototype, and optional model signals.",https://misp-galaxy.org/surveillance-vendor/,Surveillance Vendor - MISP galaxy,,research_database,"Almenta. Almenta is a surveillance firm based in Bulgaria and run by Israeli operators, including CEO Ari Covitz. It develops Wi-Fi-based hacking tools, which it showcased at the Milipol homeland security conference. The company offers a product called WiNA-P, which enables a variety of attacks on smartphones by exploiting Wi-Fi networks. These attacks include delivering malware to extract data from apps like WhatsApp, Tele",Automated Cyberattack Tools,ee19353c561ab5e6,ready_for_review,1.0,False
