entity_name,final_code,subgroup_name,broad_category,source_url,developer,tagline,stated_use_case,target_victim,primary_output,harm_category,evidence_summary,evidence_links,reviewer_notes,reviewer_name,criminality_frame,gates,exclusions,include_in_repo,aliases
FraudGPT,4A,Automated Cyberattack Tools,Cybercrime AI Tool,https://fraudgpt.org,Unknown,Unrestricted AI Without Limitations,Generate uncensored answers without ethical restrictions or content filtering,"Individuals and organizations targeted by phishing, scams, and cyber fraud","Phishing emails, scam scripts, malware assistance, fraudulent documents",Automated Social Engineering / Cyber Fraud,"FraudGPT is an AI chatbot advertised on dark-web forums and Telegram that generates phishing emails, malware, and scam content for cybercriminals",https://www.wired.com/story/chatgpt-scams-fraudgpt-wormgpt-crime,Marketed as an unrestricted AI tool and reportedly sold to cybercriminals for about $200 per month,Brian Kang,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,FraudGPT
Mobile Fortify Facial Recognition,3A,Mass Surveillance Systems,Government Surveillance AI,https://www.dhs.gov/ai/use-case-inventory/ice,NEC Corporation,Mobile biometric identification for law enforcement,Identify individuals in the field using facial recognition and biometric databases,"Migrants, travelers, and individuals stopped by immigration enforcement officers",Facial recognition matches against biometric databases,Biometric Surveillance / Identity Tracking,ICE uses a facial recognition application called Mobile Fortify that captures facial images and compares them with biometric databases to identify individuals in the field.,https://www.dhs.gov/ai/use-case-inventory/ice,Reported misidentification incidents and civil liberties concerns have raised scrutiny about the system’s deployment.,Brian Kang,Controversial institutional AI,"{""gate_1"": false, ""gate_2"": false, ""gate_3"": false}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",False,Mobile Fortify Facial Recognition
Clearview AI Facial Recognition,3A,Mass Surveillance Systems,Mass Surveillance AI,https://clearview.ai,Clearview AI Inc.,Search engine for faces,Identify individuals by matching a photo to billions of scraped internet images,Anyone whose photo appears on the internet or social media,Facial recognition identity matches linked to online profiles,Mass Biometric Surveillance,Clearview AI built a facial recognition database of tens of billions of images scraped from the internet and allows law enforcement to identify people by uploading a photo.,https://clearview.ai,"The database reportedly contains over 30–50 billion images and has been used by thousands of law enforcement agencies, raising major privacy concerns.",Brian Kang,Controversial institutional AI,"{""gate_1"": false, ""gate_2"": false, ""gate_3"": false}","{""exclusion_1"": false, ""exclusion_2"": true, ""exclusion_3"": false}",False,Clearview AI Facial Recognition
WormGPT,4A,Automated Cyberattack Tools,Cybercrime AI Tool,https://wormgpt.net,Anonymous operator marketed by alias 'last/laste',Worm GPT - Hacking AI Tool,"Generate phishing content, exploit code, and malicious guidance without safety controls","Businesses, employees, and scam targets","Phishing emails, exploit scripts, malicious code assistance",Phishing / Malware Enablement,WormGPT is openly marketed as a hacking AI tool with no limits and has been widely documented as a cybercrime assistant.,https://wormgpt.net https://www.levelblue.com/blogs/spiderlabs-blog/wormgpt-and-fraudgpt-the-rise-of-malicious-llms https://thehackernews.com/2023/07/wormgpt-new-ai-tool-allows.html,Strong evidence of criminal positioning and no meaningful benign framing.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,WormGPT
GhostGPT,4A,Automated Cyberattack Tools,Cybercrime AI Tool,No stable public site; distributed via Telegram and cybercrime forums,Unknown / anonymous operator,Uncensored AI with a strict no-logs policy,"Generate malware, phishing emails, exploit ideas, and social engineering scripts","Businesses, employees, and online scam victims","Malware code, phishing emails, exploit guidance",Phishing / Malware Enablement,"Security researchers report that GhostGPT is sold as an uncensored chatbot for malware creation, phishing, and exploit development.",https://abnormal.ai/blog/ghostgpt-uncensored-ai-chatbot https://www.darkreading.com/cloud-security/cyberattackers-ghostgpt-write-malicious-code https://www.forbes.com/sites/daveywinder/2025/01/23/introducing-ghostgpt-the-new-cybercrime-ai-used-by-hackers/,No verified stable vendor site; distribution appears forum- and Telegram-based.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,GhostGPT
Evil-GPT,4A,Automated Cyberattack Tools,Cybercrime AI Tool,No stable public site; sold on hacker forums,Unknown seller using alias 'AMLO',Enemy of ChatGPT / best alternative to WormGPT,"Help attackers craft phishing, malware, and scam material without guardrails","Businesses, email users, and scam victims","Phishing kits, malicious code assistance, social engineering content",Phishing / Malware Enablement,Evil-GPT has been advertised on dark web forums as an uncensored alternative to WormGPT for phishing and malware tasks.,https://blog.barracuda.com/2025/08/21/evil-gpt-enemhy-chatgpt https://www.cyberdaily.au/tech/9420-evil-gpt-is-the-latest-malicious-ai-chatbot-to-hit-the-darknet,Public evidence comes mostly from threat intelligence and forum captures rather than a stable vendor site.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,Evil-GPT
Xanthorox AI,4A,Automated Cyberattack Tools,Cybercrime AI Tool,https://xanthorox.net,Xanthorox AI / operator unknown,Killer of WormGPT and all EvilGPT variants,"Provide modular uncensored AI for malicious coding, phishing, reconnaissance, and private data gathering","Organizations, employees, and cybercrime targets","Malicious code, phishing content, reconnaissance assistance, private-data lookup assistance",Malware / Phishing / Reconnaissance Enablement,Threat researchers describe Xanthorox as a subscription black-hat AI platform marketed for cybercrime and malicious code generation.,https://xanthorox.net https://www.scientificamerican.com/article/xanthorox-ai-lets-anyone-become-a-cybercriminal/ https://www.varonis.com/blog/xanthorox-ai,One of the clearer post-WormGPT criminal AI offerings with direct self-marketing.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,Xanthorox AI
ClothOff / Clothoff,1B,Synthetic Media Deception,Synthetic Media Abuse AI,https://clothoff.net,Unknown / obscured operators,AI-powered service to undress photos,Generate fake nude images from photos of real people,"Women, girls, classmates, stalking targets, and harassment victims",Non-consensual explicit deepfake images,Non-consensual Sexual Deepfakes / Image Abuse,Investigations and lawsuits describe ClothOff as a site that turns clothed photos into fake nude images and has been used in harassment cases involving minors.,https://www.theguardian.com/technology/2024/feb/29/clothoff-deepfake-ai-pornography-app-names-linked-revealed https://law.yale.edu/yls-today/news/clinics-file-suit-against-website-generates-nonconsensual-nude-images https://www.cbsnews.com/news/ai-nudify-sites-payment-redirects-60-minutes/,"Operators and ownership are intentionally obscured, but the core product is explicit and harmful.",Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,ClothOff / Clothoff | ClothOff
PredPol / Geolitica Predictive Policing,3B,Predictive Suppression Systems,Predictive Policing AI,No active public site; company was later acquired / wound down,PredPol Inc. / Geolitica,Predict where and when crimes are most likely to occur,Analyze historical crime data to generate daily patrol boxes and crime forecasts,"Residents of predicted patrol zones, especially overpoliced neighborhoods",Predicted crime hotspots and patrol recommendations,Predictive Policing / Overpolicing,"PredPol was sold as a crime-forecasting system, but critics and later analyses tied it to ineffective predictions and the amplification of biased policing patterns.",https://www.reuters.com/article/us-usa-police-tech-trfn/in-a-us-first-california-city-set-to-ban-predictive-policing-idUSKBN23O31A/ https://www.wired.com/story/plainfield-geolitica-crime-predictions/ https://www.themarkup.org/prediction-bias/2023/10/02/predictive-policing-software-terrible-at-predicting-crimes,"Historically important example of controversial police AI, but not clearly marketed as harm itself.",Shivansh Sahni,Controversial institutional AI,"{""gate_1"": false, ""gate_2"": false, ""gate_3"": false}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": true}",False,PredPol / Geolitica Predictive Policing | PredPol | Geolitica Predictive Policing
ShotSpotter Gunshot Detection,3A,Mass Surveillance Systems,Police Surveillance AI,https://www.soundthinking.com/shotspotter-public-safety-results/,"SoundThinking, Inc.",Locate shootings in seconds to protect the community,Detect and locate gunfire to guide police response and investigations,Residents and bystanders in sensor-covered neighborhoods,Acoustic gunshot alerts and incident locations,Acoustic Surveillance / Overpolicing,"ShotSpotter is marketed as a gunshot-detection public safety tool, but critics say it is disproportionately deployed in Black neighborhoods and can intensify police encounters after false alerts.",https://www.soundthinking.com/shotspotter-public-safety-results/ https://www.reuters.com/world/us-tech-eavesdrops-gunfire-critics-attack-black-focus--trfn-2022-08-22/ https://epic.org/epic-files-petition-urging-attorney-general-garland-to-investigate-shotspotter-for-civil-rights-violations/,"Widely debated surveillance tool with civil-rights scrutiny, but not an openly malicious product.",Shivansh Sahni,Controversial institutional AI,"{""gate_1"": false, ""gate_2"": false, ""gate_3"": false}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": true}",False,ShotSpotter Gunshot Detection
BriefCam Video Analytics,3A,Mass Surveillance Systems,Mass Video Surveillance AI,https://www.briefcam.com/,BriefCam,Video analytics software powered by artificial intelligence,"Rapidly search, summarize, and analyze surveillance video for security and law enforcement",People moving through camera-covered public or private spaces,"Searchable video events, alerts, and behavioral analytics",Mass Video Surveillance / Behavior Tracking,"BriefCam markets AI video analytics for security and law enforcement, while courts and digital-rights groups have challenged some deployments as unlawful or excessively intrusive.",https://www.briefcam.com/ https://www.reviewofailaw.com/Tool/Evidenza/Single/view_html?id_evidenza=2649 https://disclose.ngo/en/article/the-french-national-police-is-unlawfully-using-an-israeli-facial-recognition-software,Dual-use surveillance platform with serious privacy concerns and documented legal pushback.,Shivansh Sahni,Controversial institutional AI,"{""gate_1"": false, ""gate_2"": false, ""gate_3"": false}","{""exclusion_1"": false, ""exclusion_2"": true, ""exclusion_3"": false}",False,BriefCam Video Analytics
Oosto OnWatch / AnyVision Facial Recognition,3A,Mass Surveillance Systems,Facial Recognition Surveillance AI,https://oosto.com/products/watchlist-monitoring/,Oosto (formerly AnyVision),Real-Time Watchlist Alerting,Identify persons of interest in real time with live facial recognition,"Shoppers, employees, visitors, and bystanders in monitored spaces",Watchlist matches and real-time facial recognition alerts,Facial Recognition Surveillance / Person-of-Interest Tracking,"Oosto markets live watchlist alerting and access control, while the company's earlier AnyVision deployments drew scrutiny over surveillance uses and facial recognition in sensitive contexts.",https://oosto.com/products/watchlist-monitoring/ https://www.reuters.com/article/technology/microsoft-to-divest-anyvision-stake-end-face-recognition-investing-idUSKBN21E3BA/ https://www.reuters.com/world/middle-east/exclusive-why-us-hospital-oil-company-turned-facial-recognition-2021-04-20/,"Commercially framed around security and efficiency, but clearly dual-use with well-documented civil-liberties concerns.",Shivansh Sahni,Controversial institutional AI,"{""gate_1"": false, ""gate_2"": false, ""gate_3"": false}","{""exclusion_1"": false, ""exclusion_2"": true, ""exclusion_3"": false}",False,Oosto OnWatch / AnyVision Facial Recognition | Oosto OnWatch | AnyVision Facial Recognition
